name,category,location,state,courses_offered,min_cutoff_percentage,fees_min,fees_max,ranking,description,website,admission_basis,typical_rank_cutoff,gender_eligibility
IIT Madras,Engineering,Chennai,Tamil Nadu,"Computer Science, Mechanical Engineering, Electrical Engineering, Civil Engineering, Data Science",,200000,250000,1,"Premier government engineering institute, JEE Advanced based admission.",https://www.iitm.ac.in,JEE Advanced,500,Co-ed
IIT Delhi,Engineering,New Delhi,Delhi,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",,200000,250000,2,"Top-ranked IIT, JEE Advanced based admission.",https://home.iitd.ac.in,JEE Advanced,550,Co-ed
IIT Bombay,Engineering,Mumbai,Maharashtra,"Computer Science, Electrical Engineering, Mechanical Engineering, Aerospace Engineering",,200000,250000,1,Leading government engineering institute in India.,https://www.iitb.ac.in,JEE Advanced,450,Co-ed
IIT Kanpur,Engineering,Kanpur,Uttar Pradesh,"Computer Science, Mechanical Engineering, Electrical Engineering, Aerospace Engineering",,200000,250000,4,"Top IIT known for research, JEE Advanced based admission.",https://www.iitk.ac.in,JEE Advanced,700,Co-ed
IIT Kharagpur,Engineering,Kharagpur,West Bengal,"Computer Science, Mechanical Engineering, Civil Engineering, Mining Engineering",,200000,250000,5,"Oldest IIT, JEE Advanced based admission.",https://www.iitkgp.ac.in,JEE Advanced,900,Co-ed
IIT Roorkee,Engineering,Roorkee,Uttarakhand,"Computer Science, Civil Engineering, Electrical Engineering, Architecture",,200000,250000,6,"Premier IIT in North India, JEE Advanced based admission.",https://www.iitr.ac.in,JEE Advanced,1100,Co-ed
IIT Guwahati,Engineering,Guwahati,Assam,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,200000,250000,7,"Top IIT in Northeast India, JEE Advanced based admission.",https://www.iitg.ac.in,JEE Advanced,1300,Co-ed
IIT Hyderabad,Engineering,Hyderabad,Telangana,"Computer Science, Electrical Engineering, Mechanical Engineering, AI and Data Science",,200000,250000,9,"Fast-growing IIT, JEE Advanced based admission.",https://www.iith.ac.in,JEE Advanced,1400,Co-ed
IIT (BHU) Varanasi,Engineering,Varanasi,Uttar Pradesh,"Computer Science, Electrical Engineering, Mechanical Engineering, Metallurgical Engineering",,150000,200000,11,"Historic IIT within Banaras Hindu University, JEE Advanced based.",https://www.iitbhu.ac.in,JEE Advanced,2000,Co-ed
NIT Trichy,Engineering,Tiruchirappalli,Tamil Nadu,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,150000,180000,8,"Top NIT, JEE Main based admission.",https://www.nitt.edu,JEE Main,3000,Co-ed
NIT Warangal,Engineering,Warangal,Telangana,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",,150000,180000,10,Premier NIT in South India.,https://www.nitw.ac.in,JEE Main,3200,Co-ed
NIT Surathkal,Engineering,Surathkal,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,150000,180000,9,"Top NIT on the west coast, JEE Main based admission.",https://www.nitk.ac.in,JEE Main,3100,Co-ed
NIT Rourkela,Engineering,Rourkela,Odisha,"Computer Science, Mechanical Engineering, Mining Engineering, Civil Engineering",,140000,170000,16,"Leading NIT in Eastern India, JEE Main based admission.",https://www.nitrkl.ac.in,JEE Main,4500,Co-ed
NIT Calicut,Engineering,Kozhikode,Kerala,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,140000,170000,17,"Premier NIT in Kerala, JEE Main based admission.",https://www.nitc.ac.in,JEE Main,4700,Co-ed
VNIT Nagpur,Engineering,Nagpur,Maharashtra,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",,140000,170000,20,"Top NIT in Maharashtra, JEE Main based admission.",https://www.vnit.ac.in,JEE Main,5000,Co-ed
MNNIT Allahabad,Engineering,Prayagraj,Uttar Pradesh,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,140000,170000,21,"Leading NIT in UP, JEE Main based admission.",https://www.mnnit.ac.in,JEE Main,5500,Co-ed
MANIT Bhopal,Engineering,Bhopal,Madhya Pradesh,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",,140000,170000,23,"Top NIT in Madhya Pradesh, JEE Main based admission.",https://www.manit.ac.in,JEE Main,6000,Co-ed
SVNIT Surat,Engineering,Surat,Gujarat,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,140000,170000,24,"Leading NIT in Gujarat, JEE Main based admission.",https://www.svnit.ac.in,JEE Main,6200,Co-ed
MNIT Jaipur,Engineering,Jaipur,Rajasthan,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,140000,170000,19,"Top NIT in Rajasthan, JEE Main based admission.",https://www.mnit.ac.in,JEE Main,5800,Co-ed
NIT Durgapur,Engineering,Durgapur,West Bengal,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,130000,160000,28,"Leading NIT in West Bengal, JEE Main based admission.",https://www.nitdgp.ac.in,JEE Main,7500,Co-ed
NIT Kurukshetra,Engineering,Kurukshetra,Haryana,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,130000,160000,27,"Top NIT in Haryana, JEE Main based admission.",https://www.nitkkr.ac.in,JEE Main,7200,Co-ed
NIT Jalandhar,Engineering,Jalandhar,Punjab,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,130000,160000,30,"Leading NIT in Punjab, JEE Main based admission.",https://www.nitj.ac.in,JEE Main,8000,Co-ed
NIT Hamirpur,Engineering,Hamirpur,Himachal Pradesh,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,120000,150000,40,"NIT in Himachal Pradesh, JEE Main based admission.",https://www.nith.ac.in,JEE Main,12000,Co-ed
NIT Patna,Engineering,Patna,Bihar,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,120000,150000,38,"Leading NIT in Bihar, JEE Main based admission.",https://www.nitp.ac.in,JEE Main,11500,Co-ed
NIT Raipur,Engineering,Raipur,Chhattisgarh,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,120000,150000,42,"NIT in Chhattisgarh, JEE Main based admission.",https://www.nitrr.ac.in,JEE Main,13000,Co-ed
NIT Agartala,Engineering,Agartala,Tripura,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,110000,140000,55,"NIT serving Northeast India, JEE Main based admission.",https://www.nita.ac.in,JEE Main,18000,Co-ed
NIT Silchar,Engineering,Silchar,Assam,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,110000,140000,52,"NIT in Assam, JEE Main based admission.",https://www.nits.ac.in,JEE Main,17000,Co-ed
NIT Delhi,Engineering,New Delhi,Delhi,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,120000,150000,45,"NIT in the national capital, JEE Main based admission.",https://nitdelhi.ac.in,JEE Main,14500,Co-ed
NIT Uttarakhand,Engineering,Srinagar (Garhwal),Uttarakhand,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,110000,140000,58,"NIT in Uttarakhand, JEE Main based admission.",https://www.nituk.ac.in,JEE Main,19000,Co-ed
NIT Goa,Engineering,Ponda,Goa,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,110000,140000,60,"NIT in Goa, JEE Main based admission.",https://www.nitgoa.ac.in,JEE Main,20000,Co-ed
IIIT Hyderabad,Engineering,Hyderabad,Telangana,"Computer Science, Electronics and Communication, Computational Linguistics",,300000,350000,13,"Top IIIT known for CS research, JEE Main + own exam based admission.",https://www.iiit.ac.in,JEE Main,2500,Co-ed
IIIT Delhi,Engineering,New Delhi,Delhi,"Computer Science, Electronics and Communication, AI and Data Science",,250000,300000,15,"Leading IIIT in Delhi, JEE Main based admission.",https://www.iiitd.ac.in,JEE Main,2800,Co-ed
IIIT Bangalore,Engineering,Bengaluru,Karnataka,"Computer Science, Information Technology, Data Science",,280000,320000,18,"IIIT focused on IT and CS, primarily postgraduate, JEE Main based UG admission.",https://www.iiitb.ac.in,JEE Main,3500,Co-ed
Anna University CEG Campus,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Civil Engineering, Electronics and Communication",85,50000,75000,25,Government engineering college under TNEA counseling.,https://www.annauniv.edu,TNEA,,Co-ed
PSG College of Technology,Engineering,Coimbatore,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Electronics and Communication",82,150000,200000,30,Top private autonomous engineering college in Tamil Nadu.,https://www.psgtech.edu,TNEA,,Co-ed
Thiagarajar College of Engineering,Engineering,Madurai,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",78,120000,160000,45,"Autonomous engineering college, TNEA counseling.",https://www.tce.edu,TNEA,,Co-ed
SSN College of Engineering,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Biomedical Engineering",80,140000,180000,40,Well-regarded private engineering college near Chennai.,https://www.ssn.edu.in,TNEA,,Co-ed
SRM Institute of Science and Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Biotechnology, AI and Data Science",,250000,350000,35,Large private deemed university with multiple specializations.,https://www.srmist.edu.in,SRMJEEE,25000,Co-ed
VIT Vellore,Engineering,Vellore,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Mechanical Engineering",,200000,280000,15,"Top private deemed university, VITEEE based admission.",https://vit.ac.in,VITEEE,15000,Co-ed
VIT Chennai,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Mechanical Engineering",,190000,260000,26,"VIT's Chennai campus, VITEEE based admission.",https://vit.ac.in,VITEEE,20000,Co-ed
Sathyabama Institute of Science and Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Aeronautical Engineering",60,180000,220000,60,Private deemed university in Chennai.,https://sathyabama.ac.in,Management Quota,,Co-ed
Hindustan Institute of Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Aerospace Engineering",55,150000,200000,70,"Private deemed university, management quota seats available.",https://www.hindustanuniv.ac.in,Management Quota,,Co-ed
Sri Sairam Engineering College,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Mechanical Engineering",65,90000,130000,50,Private engineering college under TNEA counseling.,https://www.sairam.edu.in,TNEA,,Co-ed
Coimbatore Institute of Technology,Engineering,Coimbatore,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",76,60000,90000,42,Government-aided autonomous engineering college.,https://www.cit.edu.in,TNEA,,Co-ed
Government College of Technology Coimbatore,Engineering,Coimbatore,Tamil Nadu,"Mechanical Engineering, Civil Engineering, Production Engineering, Textile Technology",80,40000,60000,55,Government engineering college under TNEA counseling.,https://www.gct.ac.in,TNEA,,Co-ed
College of Engineering Guindy,Engineering,Chennai,Tamil Nadu,"Civil Engineering, Mechanical Engineering, Electronics and Communication, Computer Science",83,50000,75000,27,"Oldest engineering college in Tamil Nadu, part of Anna University, TNEA counseling.",https://www.ceg.annauniv.edu,TNEA,,Co-ed
BITS Pilani,Engineering,Pilani,Rajasthan,"Computer Science, Electronics and Communication, Mechanical Engineering, Chemical Engineering",,400000,450000,5,"Top private institute, BITSAT based admission.",https://www.bits-pilani.ac.in,BITSAT,330,Co-ed
BITS Pilani Hyderabad Campus,Engineering,Hyderabad,Telangana,"Computer Science, Electronics and Communication, Mechanical Engineering, Chemical Engineering",,380000,430000,16,"BITS Pilani's Hyderabad campus, BITSAT based admission.",https://www.bits-pilani.ac.in,BITSAT,320,Co-ed
BITS Pilani Goa Campus,Engineering,Zuarinagar,Goa,"Computer Science, Electronics and Communication, Mechanical Engineering, Chemical Engineering",,370000,420000,17,"BITS Pilani's Goa campus, BITSAT based admission.",https://www.bits-pilani.ac.in,BITSAT,330,Co-ed
Manipal Institute of Technology,Engineering,Manipal,Karnataka,"Computer Science, Information Technology, Electronics and Communication, Aeronautical Engineering",65,350000,420000,20,Well-known private institute under MAHE.,https://manipal.edu,Manipal Entrance Test,,Co-ed
RV College of Engineering,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Information Science",84,150000,200000,18,Top autonomous private engineering college in Bengaluru.,https://rvce.edu.in,KCET,,Co-ed
PES University,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Biotechnology",78,250000,320000,22,Well-regarded private university in Karnataka.,https://pes.edu,KCET,,Co-ed
BMS College of Engineering,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",76,140000,180000,32,"One of the oldest private engineering colleges in Karnataka, KCET based.",https://bmsce.ac.in,KCET,,Co-ed
M S Ramaiah Institute of Technology,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Information Science",74,160000,200000,38,"Reputed autonomous engineering college in Bengaluru, KCET based.",https://www.msrit.edu,KCET,,Co-ed
Jadavpur University,Engineering,Kolkata,West Bengal,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",88,15000,25000,12,Top government university in eastern India.,http://www.jaduniv.edu.in,WBJEE,,Co-ed
Delhi Technological University,Engineering,New Delhi,Delhi,"Computer Science, Information Technology, Mechanical Engineering, Electronics and Communication",87,150000,180000,14,Premier government engineering university in Delhi.,http://dtu.ac.in,JEE Main,8500,Co-ed
Netaji Subhas University of Technology,Engineering,New Delhi,Delhi,"Computer Science, Electronics and Communication, Mechanical Engineering, Information Technology",85,140000,170000,29,"Leading government technical university in Delhi, JEE Main based.",http://www.nsut.ac.in,JEE Main,9500,Co-ed
College of Engineering Pune,Engineering,Pune,Maharashtra,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Telecommunication",81,40000,60000,33,"Autonomous government engineering college, MHT-CET based admission.",https://www.coep.org.in,MHT-CET,,Co-ed
Veermata Jijabai Technological Institute,Engineering,Mumbai,Maharashtra,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics Engineering",79,45000,65000,36,"Autonomous government institute in Mumbai, MHT-CET based admission.",https://www.vjti.ac.in,MHT-CET,,Co-ed
Pune Institute of Computer Technology,Engineering,Pune,Maharashtra,"Computer Science, Information Technology, Electronics and Telecommunication",75,100000,140000,48,"Reputed private autonomous college in Pune, MHT-CET based admission.",https://www.pict.edu,MHT-CET,,Co-ed
L D College of Engineering,Engineering,Ahmedabad,Gujarat,"Computer Science, Mechanical Engineering, Civil Engineering, Electrical Engineering",73,20000,35000,46,"Government engineering college in Gujarat, GUJCET based admission.",https://www.ldce.ac.in,GUJCET,,Co-ed
Nirma University,Engineering,Ahmedabad,Gujarat,"Computer Science, Information Technology, Mechanical Engineering, Civil Engineering",70,180000,220000,44,"Reputed private university in Gujarat, GUJCET/JEE Main based admission.",https://www.nirmauni.ac.in,GUJCET,,Co-ed
Indian Institute of Engineering Science and Technology Shibpur,Engineering,Howrah,West Bengal,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Telecommunication",,150000,180000,25,"Oldest engineering institution in India, JEE Main based admission.",https://www.iiests.ac.in,JEE Main,5000,Co-ed
AIIMS New Delhi,Medical,New Delhi,Delhi,"MBBS, Medical Sciences",,5000,10000,1,"India's premier government medical institute, NEET based admission.",https://www.aiims.edu,NEET,100,Co-ed
AIIMS Bhopal,Medical,Bhopal,Madhya Pradesh,"MBBS, Medical Sciences",,6000,12000,12,"AIIMS campus in Madhya Pradesh, NEET based admission.",https://www.aiimsbhopal.edu.in,NEET,2500,Co-ed
AIIMS Bhubaneswar,Medical,Bhubaneswar,Odisha,"MBBS, Medical Sciences",,6000,12000,8,"AIIMS campus in Odisha, NEET based admission.",https://aiimsbhubaneswar.nic.in,NEET,2200,Co-ed
AIIMS Jodhpur,Medical,Jodhpur,Rajasthan,"MBBS, Medical Sciences",,6000,12000,9,"AIIMS campus in Rajasthan, NEET based admission.",https://www.aiimsjodhpur.edu.in,NEET,2300,Co-ed
AIIMS Rishikesh,Medical,Rishikesh,Uttarakhand,"MBBS, Medical Sciences",,6000,12000,10,"AIIMS campus in Uttarakhand, NEET based admission.",https://aiimsrishikesh.edu.in,NEET,2400,Co-ed
AIIMS Patna,Medical,Patna,Bihar,"MBBS, Medical Sciences",,6000,12000,14,"AIIMS campus in Bihar, NEET based admission.",https://aiimspatna.edu.in,NEET,2800,Co-ed
AIIMS Raipur,Medical,Raipur,Chhattisgarh,"MBBS, Medical Sciences",,6000,12000,16,"AIIMS campus in Chhattisgarh, NEET based admission.",https://aiimsraipur.edu.in,NEET,3500,Co-ed
AIIMS Nagpur,Medical,Nagpur,Maharashtra,"MBBS, Medical Sciences",,6000,12000,18,"AIIMS campus in Maharashtra, NEET based admission.",https://aiimsnagpur.edu.in,NEET,3800,Co-ed
AIIMS Mangalagiri,Medical,Mangalagiri,Andhra Pradesh,"MBBS, Medical Sciences",,6000,12000,20,"AIIMS campus in Andhra Pradesh, NEET based admission.",https://aiimsmangalagiri.edu.in,NEET,4200,Co-ed
JIPMER Puducherry,Medical,Puducherry,Puducherry,"MBBS, Medical Sciences",,5000,10000,4,"Top central institute for medical education and research, NEET based admission.",https://jipmer.edu.in,NEET,700,Co-ed
Christian Medical College Vellore,Medical,Vellore,Tamil Nadu,"MBBS, Medical Sciences, Nursing",,50000,80000,3,"Premier private minority medical institution, NEET based admission with own merit list.",https://www.cmch-vellore.edu,NEET,1500,Co-ed
Armed Forces Medical College Pune,Medical,Pune,Maharashtra,"MBBS, Medical Sciences",,70000,90000,6,"Government medical college under Ministry of Defence, NEET plus SSB interview.",https://afmc.nic.in,NEET,1200,Co-ed
Maulana Azad Medical College,Medical,New Delhi,Delhi,"MBBS, Medical Sciences",,15000,25000,7,"Top government medical college in Delhi, NEET based admission.",https://www.mamc.ac.in,NEET,1000,Co-ed
Vardhman Mahavir Medical College and Safdarjung Hospital,Medical,New Delhi,Delhi,"MBBS, Medical Sciences",,15000,25000,11,"Leading government medical college attached to Safdarjung Hospital, NEET based.",https://www.vmmc-sjh.nic.in,NEET,1400,Co-ed
King George's Medical University,Medical,Lucknow,Uttar Pradesh,"MBBS, Medical Sciences, Nursing",,20000,30000,13,"Premier state medical university in Uttar Pradesh, NEET based admission.",https://www.kgmu.org,NEET,2000,Co-ed
Institute of Medical Sciences BHU,Medical,Varanasi,Uttar Pradesh,"MBBS, Medical Sciences",,15000,25000,5,"Medical institute within Banaras Hindu University, NEET based admission.",https://www.bhu.ac.in,NEET,1800,Co-ed
Grant Medical College and Sir JJ Hospital,Medical,Mumbai,Maharashtra,"MBBS, Medical Sciences",,20000,30000,15,"Historic government medical college in Mumbai, NEET based admission.",https://gmcjjh.org,NEET,2100,Co-ed
Seth GS Medical College,Medical,Mumbai,Maharashtra,"MBBS, Medical Sciences",,20000,30000,17,"Premier government medical college affiliated with KEM Hospital, NEET based.",https://www.kem.edu,NEET,1900,Co-ed
Madras Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",,15000,25000,5,"Top government medical college in Tamil Nadu, NEET plus state counseling.",https://www.mmc.tn.gov.in,NEET,1600,Co-ed
Stanley Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",,15000,25000,22,"Government medical college in Chennai, NEET plus state counseling.",https://www.stanleymedicalcollege.com,NEET,3200,Co-ed
Kilpauk Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",,15000,25000,28,"Government medical college in Chennai, NEET plus state counseling.",https://www.kmc.tn.gov.in,NEET,3600,Co-ed
Government Medical College Thiruvananthapuram,Medical,Thiruvananthapuram,Kerala,"MBBS, Medical Sciences",,20000,30000,19,"Top government medical college in Kerala, NEET based admission.",https://www.gmc.kerala.gov.in,NEET,2900,Co-ed
Government Medical College Kozhikode,Medical,Kozhikode,Kerala,"MBBS, Medical Sciences",,20000,30000,24,"Leading government medical college in Kerala, NEET based admission.",https://gmckozhikode.kerala.gov.in,NEET,3300,Co-ed
Bangalore Medical College and Research Institute,Medical,Bengaluru,Karnataka,"MBBS, Medical Sciences",,20000,30000,21,"Premier government medical college in Karnataka, NEET based admission.",https://www.bmcri.org,NEET,3000,Co-ed
NIMHANS Bengaluru,Medical,Bengaluru,Karnataka,"Medical Sciences, Mental Health and Neurosciences",,15000,25000,2,"National institute for mental health and neurosciences, deemed university, NEET based PG admissions.",https://nimhans.ac.in,NEET,1100,Co-ed
Kasturba Medical College Manipal,Medical,Manipal,Karnataka,"MBBS, Medical Sciences, Dental Sciences",,1800000,2200000,25,"Top private medical college under MAHE, NEET based admission with high fees.",https://manipal.edu/kmc-manipal.html,NEET,15000,Co-ed
St John's Medical College,Medical,Bengaluru,Karnataka,"MBBS, Medical Sciences, Nursing",,1000000,1300000,23,"Private Christian minority medical college, NEET based admission.",https://stjohns.in,NEET,8000,Co-ed
Sri Ramachandra Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences, Dental Sciences",,1800000,2200000,30,"Private deemed medical university in Chennai, NEET based admission.",https://sriramachandra.edu.in,NEET,12000,Co-ed
SRM Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",,2000000,2400000,40,"Private medical college under SRM, NEET based admission.",https://srmist.edu.in,NEET,18000,Co-ed
PGIMER Chandigarh,Medical,Chandigarh,Chandigarh,"Medical Sciences, MD/MS Specialties",,5000,10000,2,"Premier postgraduate medical institute, NEET-PG based admission.",https://pgimer.edu.in,NEET,300,Co-ed
Gandhi Medical College Bhopal,Medical,Bhopal,Madhya Pradesh,"MBBS, Medical Sciences",,20000,30000,32,"Government medical college in Madhya Pradesh, NEET based admission.",https://gmcbhopal.nic.in,NEET,5000,Co-ed
Government Medical College Nagpur,Medical,Nagpur,Maharashtra,"MBBS, Medical Sciences",,20000,30000,29,"Government medical college in Maharashtra, NEET based admission.",https://gmcnagpur.gov.in,NEET,4800,Co-ed
B.J. Medical College Ahmedabad,Medical,Ahmedabad,Gujarat,"MBBS, Medical Sciences",,20000,30000,26,"Government medical college in Gujarat, NEET based admission.",https://bjmcahmedabad.edu.in,NEET,4500,Co-ed
Patna Medical College,Medical,Patna,Bihar,"MBBS, Medical Sciences",,20000,30000,34,"Oldest government medical college in Bihar, NEET based admission.",https://pmch.bih.nic.in,NEET,6500,Co-ed
R G Kar Medical College,Medical,Kolkata,West Bengal,"MBBS, Medical Sciences",,15000,25000,33,"Government medical college in West Bengal, NEET based admission.",https://rgkarmc.org,NEET,6000,Co-ed
IPGMER and SSKM Hospital,Medical,Kolkata,West Bengal,"MBBS, Medical Sciences",,15000,25000,27,"Premier government medical institute in West Bengal, NEET based admission.",https://ipgmer.gov.in,NEET,5200,Co-ed
Osmania Medical College,Medical,Hyderabad,Telangana,"MBBS, Medical Sciences",,20000,30000,31,"Government medical college in Telangana, NEET based admission.",https://osmaniamedicalcollege.com,NEET,5500,Co-ed
Government Medical College Patiala,Medical,Patiala,Punjab,"MBBS, Medical Sciences",,20000,30000,36,"Government medical college in Punjab, NEET based admission.",https://gmch.gov.in,NEET,7000,Co-ed
SMS Medical College Jaipur,Medical,Jaipur,Rajasthan,"MBBS, Medical Sciences",,20000,30000,28,"Premier government medical college in Rajasthan, NEET based admission.",https://smsmcjpr.ac.in,NEET,5800,Co-ed
IIM Ahmedabad,Management,Ahmedabad,Gujarat,"MBA, Business Administration",,2300000,2500000,1,"India's top management institute, CAT based admission.",https://www.iima.ac.in,CAT,,Co-ed
IIM Bangalore,Management,Bengaluru,Karnataka,"MBA, Business Administration",,2300000,2500000,2,"Premier management institute, CAT based admission.",https://www.iimb.ac.in,CAT,,Co-ed
IIM Calcutta,Management,Kolkata,West Bengal,"MBA, Business Administration",,2300000,2500000,3,"One of India's oldest IIMs, CAT based admission.",https://www.iimcal.ac.in,CAT,,Co-ed
IIM Lucknow,Management,Lucknow,Uttar Pradesh,"MBA, Business Administration",,1800000,2000000,5,"Top IIM in North India, CAT based admission.",https://www.iiml.ac.in,CAT,,Co-ed
IIM Kozhikode,Management,Kozhikode,Kerala,"MBA, Business Administration",,1900000,2100000,4,"Leading IIM in South India, CAT based admission.",https://www.iimk.ac.in,CAT,,Co-ed
IIM Indore,Management,Indore,Madhya Pradesh,"MBA, Business Administration, Integrated Programme in Management",,1700000,1900000,6,"Top IIM known for IPM program, CAT based admission.",https://www.iimidr.ac.in,CAT,,Co-ed
