name,category,location,state,courses_offered,min_cutoff_percentage,fees_min,fees_max,ranking,description,website,admission_basis,typical_rank_cutoff,gender_eligibility
IIM Shillong,Management,Shillong,Meghalaya,"MBA, Business Administration",,1300000,1500000,10,"IIM serving Northeast India, CAT based admission.",https://www.iimshillong.ac.in,CAT,,Co-ed
IIM Rohtak,Management,Rohtak,Haryana,"MBA, Business Administration, Integrated Programme in Management",,1300000,1500000,12,"IIM in Haryana with IPM program, CAT based admission.",https://www.iimrohtak.ac.in,CAT,,Co-ed
IIM Udaipur,Management,Udaipur,Rajasthan,"MBA, Business Administration",,1500000,1700000,9,"Newer IIM with growing reputation, CAT based admission.",https://www.iimu.ac.in,CAT,,Co-ed
IIM Ranchi,Management,Ranchi,Jharkhand,"MBA, Business Administration",,1300000,1500000,13,"IIM in Jharkhand, CAT based admission.",https://www.iimranchi.ac.in,CAT,,Co-ed
IIM Raipur,Management,Raipur,Chhattisgarh,"MBA, Business Administration",,1300000,1500000,14,"IIM in Chhattisgarh, CAT based admission.",https://www.iimraipur.ac.in,CAT,,Co-ed
IIM Tiruchirappalli,Management,Tiruchirappalli,Tamil Nadu,"MBA, Business Administration",,1300000,1500000,11,"IIM in Tamil Nadu, CAT based admission.",https://www.iimtrichy.ac.in,CAT,,Co-ed
IIM Kashipur,Management,Kashipur,Uttarakhand,"MBA, Business Administration",,1300000,1500000,16,"IIM in Uttarakhand, CAT based admission.",https://www.iimkashipur.ac.in,CAT,,Co-ed
IIM Nagpur,Management,Nagpur,Maharashtra,"MBA, Business Administration",,1300000,1500000,15,"IIM in Maharashtra, CAT based admission.",https://www.iimnagpur.ac.in,CAT,,Co-ed
IIM Amritsar,Management,Amritsar,Punjab,"MBA, Business Administration",,1100000,1300000,18,"IIM in Punjab, CAT based admission.",https://www.iimamritsar.ac.in,CAT,,Co-ed
IIM Jammu,Management,Jammu,Jammu and Kashmir,"MBA, Business Administration, Integrated Programme in Management",,1100000,1300000,19,"IIM in Jammu and Kashmir, CAT based admission.",https://www.iimj.ac.in,CAT,,Co-ed
IIM Visakhapatnam,Management,Visakhapatnam,Andhra Pradesh,"MBA, Business Administration",,1100000,1300000,17,"IIM in Andhra Pradesh, CAT based admission.",https://www.iimv.ac.in,CAT,,Co-ed
IIM Sambalpur,Management,Sambalpur,Odisha,"MBA, Business Administration",,1000000,1200000,20,"IIM in Odisha, CAT based admission.",https://www.iimsambalpur.ac.in,CAT,,Co-ed
IIM Bodh Gaya,Management,Bodh Gaya,Bihar,"MBA, Business Administration",,1000000,1200000,21,"IIM in Bihar, CAT based admission.",https://www.iimbg.ac.in,CAT,,Co-ed
XLRI Jamshedpur,Management,Jamshedpur,Jharkhand,"MBA, Business Administration, HR Management",,2400000,2600000,5,"Top private management institute, XAT based admission.",https://www.xlri.ac.in,XAT,,Co-ed
SP Jain Institute of Management and Research,Management,Mumbai,Maharashtra,"MBA, Business Administration",,1900000,2100000,8,"Reputed private B-school in Mumbai, CAT/XAT based admission.",https://www.spjimr.org,CAT,,Co-ed
NMIMS Mumbai,Management,Mumbai,Maharashtra,"MBA, Business Administration, Finance",,1800000,2000000,10,"Top-tier private B-school, NMAT based admission.",https://www.nmims.edu,NMAT,,Co-ed
Symbiosis Institute of Business Management Pune,Management,Pune,Maharashtra,"MBA, Business Administration",,1200000,1500000,18,"Reputed private B-school under Symbiosis, SNAP based admission.",https://www.sibmpune.edu.in,SNAP,,Co-ed
Indian School of Business Hyderabad,Management,Hyderabad,Telangana,"MBA, Post Graduate Programme in Management",,3700000,4000000,1,"Top-ranked one year MBA program, GMAT/GRE based admission.",https://www.isb.edu,GMAT,,Co-ed
Great Lakes Institute of Management,Management,Chennai,Tamil Nadu,"MBA, Business Analytics, Business Administration",,1500000,1800000,20,"Well-known private management institute in Chennai, CAT based admission.",https://www.greatlakes.edu.in,CAT,,Co-ed
Loyola Institute of Business Administration,Management,Chennai,Tamil Nadu,"MBA, Business Administration, HR Analytics",75,800000,1000000,25,"Reputed private B-school in Chennai, CAT/MAT based admission.",https://www.liba.edu,CAT,,Co-ed
Faculty of Management Studies Delhi,Management,New Delhi,Delhi,"MBA, Business Administration",,200000,250000,7,"Top government-affiliated B-school under University of Delhi, CAT based admission.",http://fms.edu,CAT,,Co-ed
Management Development Institute Gurgaon,Management,Gurugram,Haryana,"MBA, Business Administration, PGDM",,1700000,1900000,12,"Reputed private B-school in Haryana, CAT/XAT/GMAT based admission.",https://www.mdi.ac.in,CAT,,Co-ed
Institute of Management Technology Ghaziabad,Management,Ghaziabad,Uttar Pradesh,"PGDM, Business Administration",,1400000,1600000,16,"Well-known private B-school in UP, CAT/XAT based admission.",https://www.imt.edu,CAT,,Co-ed
T A Pai Management Institute,Management,Manipal,Karnataka,"MBA, Business Administration",,1100000,1300000,22,"Reputed B-school under MAHE, CAT/XAT/NMAT based admission.",https://www.tapmi.edu.in,CAT,,Co-ed
National Law School of India University,Law,Bengaluru,Karnataka,"BA LLB, LLM",92,250000,300000,1,"India's premier law school, CLAT based admission.",https://www.nls.ac.in,CLAT,,Co-ed
NALSAR University of Law,Law,Hyderabad,Telangana,"BA LLB, LLM",90,200000,250000,2,"Top law university, CLAT based admission.",https://www.nalsar.ac.in,CLAT,,Co-ed
National Law University Delhi,Law,New Delhi,Delhi,"BA LLB, LLM",,200000,250000,3,"Premier law university, AILET based admission (own entrance exam).",https://nludelhi.ac.in,AILET,,Co-ed
West Bengal National University of Juridical Sciences,Law,Kolkata,West Bengal,"BA LLB, LLM",88,180000,220000,4,"Leading law university in Eastern India, CLAT based admission.",https://www.nujs.edu,CLAT,,Co-ed
Gujarat National Law University,Law,Gandhinagar,Gujarat,"BA LLB, LLM, BBA LLB",86,200000,240000,5,"Top law university in Gujarat, CLAT based admission.",https://www.gnlu.ac.in,CLAT,,Co-ed
National Law Institute University Bhopal,Law,Bhopal,Madhya Pradesh,"BA LLB, LLM",84,180000,220000,6,"Reputed NLU in Madhya Pradesh, CLAT based admission.",https://www.nliu.ac.in,CLAT,,Co-ed
Rajiv Gandhi National University of Law,Law,Patiala,Punjab,"BA LLB, LLM",80,150000,180000,7,"NLU in Punjab, CLAT based admission.",https://www.rgnul.ac.in,CLAT,,Co-ed
Dr Ram Manohar Lohiya National Law University,Law,Lucknow,Uttar Pradesh,"BA LLB, LLM",80,150000,180000,8,"NLU in Uttar Pradesh, CLAT based admission.",https://www.rmlnlu.ac.in,CLAT,,Co-ed
National University of Study and Research in Law,Law,Ranchi,Jharkhand,"BA LLB, LLM",75,130000,160000,9,"NLU in Jharkhand, CLAT based admission.",https://www.nusrlranchi.ac.in,CLAT,,Co-ed
National Law University Jodhpur,Law,Jodhpur,Rajasthan,"BA LLB, LLM, BBA LLB",82,180000,210000,8,"Reputed NLU in Rajasthan, CLAT based admission.",https://www.nlujodhpur.ac.in,CLAT,,Co-ed
National Law University Odisha,Law,Cuttack,Odisha,"BA LLB, LLM",78,140000,170000,10,"NLU in Odisha, CLAT based admission.",https://nluo.ac.in,CLAT,,Co-ed
Tamil Nadu National Law University,Law,Tiruchirappalli,Tamil Nadu,"BA LLB, LLM",76,130000,160000,11,"NLU in Tamil Nadu, CLAT based admission.",https://www.tnnlu.ac.in,CLAT,,Co-ed
National Law University and Judicial Academy Assam,Law,Guwahati,Assam,"BA LLB, LLM",74,120000,150000,12,"NLU serving Northeast India, CLAT based admission.",https://www.nluassam.ac.in,CLAT,,Co-ed
Maharashtra National Law University Mumbai,Law,Mumbai,Maharashtra,"BA LLB, LLM",78,140000,170000,13,"NLU in Maharashtra, CLAT based admission.",https://mnlumumbai.edu.in,CLAT,,Co-ed
Maharashtra National Law University Nagpur,Law,Nagpur,Maharashtra,"BA LLB, LLM",72,120000,150000,14,"NLU in Maharashtra, CLAT based admission.",https://nlunagpur.ac.in,CLAT,,Co-ed
Himachal Pradesh National Law University,Law,Shimla,Himachal Pradesh,"BA LLB, LLM",70,110000,140000,15,"NLU in Himachal Pradesh, CLAT based admission.",https://hpnlu.ac.in,CLAT,,Co-ed
Government Law College Chennai,Law,Chennai,Tamil Nadu,"BA LLB, BL",70,15000,25000,30,"Government law college in Chennai, TNDALU counseling.",https://tndalu.ac.in,TNDALU,,Co-ed
School of Excellence in Law Chennai,Law,Chennai,Tamil Nadu,BA LLB,78,80000,100000,15,Constituent law school of Tamil Nadu Dr Ambedkar Law University.,https://tndalu.ac.in,TNDALU,,Co-ed
Symbiosis Law School Pune,Law,Pune,Maharashtra,"BA LLB, BBA LLB",,300000,350000,8,"Top private law school, SLAT based admission.",https://www.symlaw.ac.in,SLAT,,Co-ed
Jindal Global Law School,Law,Sonipat,Haryana,"BA LLB, BBA LLB",,600000,700000,5,"Premier private law school under OP Jindal Global University, own entrance test.",https://jgu.edu.in/jgls,LSAT India,,Co-ed
Faculty of Law Delhi University,Law,New Delhi,Delhi,"LLB, LLM",75,15000,25000,9,"Government law faculty under University of Delhi, CUET based admission.",https://lawfaculty.du.ac.in,CUET,,Co-ed
ILS Law College Pune,Law,Pune,Maharashtra,"BA LLB, LLB",72,80000,110000,16,"Reputed autonomous law college in Pune, MH-CET Law based admission.",https://ilslaw.edu,MH-CET Law,,Co-ed
Government Law College Mumbai,Law,Mumbai,Maharashtra,"LLB, LLM",70,15000,25000,18,"Oldest law college in India, MH-CET Law based admission.",https://glcmumbai.com,MH-CET Law,,Co-ed
Loyola College Chennai,Arts and Science,Chennai,Tamil Nadu,"B.Com, B.A. Economics, B.Sc. Computer Science, B.Sc. Physics, B.A. English",75,30000,50000,8,Premier autonomous arts and science college in Chennai.,https://www.loyolacollege.edu,CUET,,Co-ed
Madras Christian College,Arts and Science,Chennai,Tamil Nadu,"B.A. Economics, B.Sc. Computer Science, B.Com, B.A. History, B.Sc. Mathematics",72,25000,45000,10,Historic autonomous college affiliated with University of Madras.,https://mcc.edu.in,CUET,,Co-ed
Presidency College Chennai,Arts and Science,Chennai,Tamil Nadu,"B.A. Economics, B.Sc. Physics, B.Sc. Chemistry, B.Com",65,10000,18000,20,"Government arts and science college, one of the oldest in India.",https://www.presidencychennai.edu.in,TNEA,,Co-ed
Stella Maris College,Arts and Science,Chennai,Tamil Nadu,"B.A. Economics, B.Sc. Computer Science, B.Com, B.A. English",70,40000,55000,15,Top women's autonomous college in Chennai.,https://www.stellamariscollege.edu.in,CUET,,Women Only
PSGR Krishnammal College for Women,Arts and Science,Coimbatore,Tamil Nadu,"B.Com, B.Sc. Computer Science, B.A. Economics, B.Sc. Costume Design",68,35000,50000,28,Reputed women's autonomous college in Coimbatore.,https://www.psgrkcw.ac.in,CUET,,Women Only
St Xavier's College Mumbai,Arts and Science,Mumbai,Maharashtra,"B.A. Economics, B.Sc. Computer Science, B.Com, B.A. Sociology",78,40000,60000,5,Premier autonomous college affiliated with University of Mumbai.,https://xaviers.edu,CUET,,Co-ed
Lady Shri Ram College,Arts and Science,New Delhi,Delhi,"B.A. Economics, B.Com, B.A. English, B.A. Political Science",82,35000,50000,3,Premier women's college under University of Delhi.,https://lsr.edu.in,CUET,,Women Only
Hindu College Delhi,Arts and Science,New Delhi,Delhi,"B.A. Economics, B.Sc. Physics, B.Com, B.A. History",80,20000,30000,6,"Premier college under University of Delhi, CUET based admission.",https://hinducollege.ac.in,CUET,,Co-ed
St Stephen's College Delhi,Arts and Science,New Delhi,Delhi,"B.A. Economics, B.Sc. Physics, B.A. English, B.A. History",85,30000,45000,2,Premier autonomous college under University of Delhi.,https://www.ststephens.edu,CUET,,Co-ed
Miranda House,Arts and Science,New Delhi,Delhi,"B.A. Economics, B.Sc. Computer Science, B.Com, B.A. English",83,20000,30000,1,Top women's college under University of Delhi.,https://www.mirandahouse.ac.in,CUET,,Women Only
Christ University,Arts and Science,Bengaluru,Karnataka,"B.A. Economics, B.Com, B.Sc. Computer Science, B.A. Psychology",70,120000,160000,12,Leading private deemed university in Bengaluru.,https://christuniversity.in,Christ University Entrance Test,,Co-ed
Mount Carmel College,Arts and Science,Bengaluru,Karnataka,"B.Com, B.A. Economics, B.Sc. Computer Science, B.A. Psychology",68,50000,70000,32,Reputed autonomous women's college in Bengaluru.,https://mccblr.edu.in,Own Entrance Test,,Women Only
St Joseph's College Bengaluru,Arts and Science,Bengaluru,Karnataka,"B.A. Economics, B.Com, B.Sc. Computer Science, B.A. English",69,45000,65000,30,Autonomous college affiliated with Bengaluru University.,https://sjc.ac.in,Own Entrance Test,,Co-ed
Fergusson College,Arts and Science,Pune,Maharashtra,"B.A. Economics, B.Sc. Physics, B.Com, B.Sc. Computer Science",70,20000,30000,18,"Historic autonomous college in Pune, MH state board based admission.",https://fergusson.edu,Merit Based,,Co-ed
St Xavier's College Kolkata,Arts and Science,Kolkata,West Bengal,"B.Com, B.A. Economics, B.Sc. Computer Science, B.A. English",72,30000,45000,14,Premier autonomous college in Kolkata.,https://sxccal.edu,CUET,,Co-ed
Presidency University Kolkata,Arts and Science,Kolkata,West Bengal,"B.A. Economics, B.Sc. Physics, B.Sc. Chemistry, B.Com",68,8000,15000,22,"Historic government college, one of the oldest in India.",https://www.presiuniv.ac.in,WBJEE,,Co-ed
Symbiosis College of Arts and Commerce,Arts and Science,Pune,Maharashtra,"B.A. Economics, B.Com, B.Sc. Computer Science",65,80000,110000,35,"Reputed private college under Symbiosis, SET based admission.",https://www.scac.ac.in,SET,,Co-ed
Loyola Academy Hyderabad,Arts and Science,Hyderabad,Telangana,"B.Com, B.A. Economics, B.Sc. Computer Science",66,30000,45000,38,Autonomous college in Hyderabad affiliated with Osmania University.,https://loyolaacademy.edu.in,Merit Based,,Co-ed
Andhra Loyola College,Arts and Science,Vijayawada,Andhra Pradesh,"B.Com, B.Sc. Computer Science, B.A. Economics",62,25000,38000,42,Autonomous college in Andhra Pradesh.,https://andhraloyolacollege.ac.in,Merit Based,,Co-ed
St Joseph's College Devagiri,Arts and Science,Kozhikode,Kerala,"B.Com, B.A. Economics, B.Sc. Computer Science",64,15000,25000,40,Reputed autonomous college in Kerala.,https://devagiricollege.org,Merit Based,,Co-ed
Government Polytechnic College Chennai,Polytechnic,Chennai,Tamil Nadu,"Diploma in Mechanical Engineering, Diploma in Civil Engineering, Diploma in Electronics",55,8000,12000,20,Government polytechnic offering diploma courses after 10th.,https://dote.tn.gov.in,TNEA Polytechnic,,Co-ed
Central Polytechnic College Chennai,Polytechnic,Chennai,Tamil Nadu,"Diploma in Computer Engineering, Diploma in Electronics, Diploma in Mechanical Engineering",58,8000,12000,15,Premier government polytechnic in Tamil Nadu.,https://dote.tn.gov.in,TNEA Polytechnic,,Co-ed
Murugappa Polytechnic College,Polytechnic,Chennai,Tamil Nadu,"Diploma in Mechanical Engineering, Diploma in Electrical Engineering",50,30000,45000,35,Private polytechnic college offering technical diplomas.,https://dote.tn.gov.in,TNEA Polytechnic,,Co-ed
Government Polytechnic Mumbai,Polytechnic,Mumbai,Maharashtra,"Diploma in Computer Engineering, Diploma in Mechanical Engineering, Diploma in Civil Engineering",52,10000,15000,18,Premier government polytechnic in Maharashtra.,https://gpmumbai.ac.in,MHT-CET Polytechnic,,Co-ed
Government Polytechnic Pune,Polytechnic,Pune,Maharashtra,"Diploma in Computer Engineering, Diploma in Electronics, Diploma in Civil Engineering",50,10000,15000,22,Government polytechnic in Pune.,https://gppune.ac.in,MHT-CET Polytechnic,,Co-ed
Delhi Skill and Entrepreneurship University Polytechnic,Polytechnic,New Delhi,Delhi,"Diploma in Computer Engineering, Diploma in Electrical Engineering",48,12000,18000,25,Government polytechnic in Delhi.,https://dseu.ac.in,CET Polytechnic,,Co-ed
Government Polytechnic Bengaluru,Polytechnic,Bengaluru,Karnataka,"Diploma in Mechanical Engineering, Diploma in Computer Science",50,9000,14000,28,Government polytechnic in Karnataka.,https://gpb.kar.nic.in,KCET Diploma,,Co-ed
Government Women's Polytechnic Trivandrum,Polytechnic,Thiruvananthapuram,Kerala,"Diploma in Computer Engineering, Diploma in Electronics",48,8000,12000,30,Government polytechnic exclusively for women in Kerala.,https://gwptvm.ac.in,Merit Based,,Women Only
Institute of Hotel Management Catering and Nutrition Mumbai,Polytechnic,Mumbai,Maharashtra,"Diploma in Hotel Management, Craftsmanship Course",45,30000,50000,10,Premier government hotel management institute in India.,https://ihmctan.edu,NCHMCT JEE,,Co-ed
Indira Gandhi National Open University,Distance Education,New Delhi,Delhi,"B.A., B.Com, BCA, MBA Distance, Diploma Courses",,15000,40000,1,"India's largest open and distance learning university, no cutoff barrier.",https://www.ignou.ac.in,Open Admission,,Co-ed
Annamalai University Distance Education,Distance Education,Chidambaram,Tamil Nadu,"B.A., B.Com, B.Sc., MBA Distance",,10000,30000,10,Distance education wing of Annamalai University.,https://www.annamalaiuniversity.ac.in,Open Admission,,Co-ed
University of Madras Institute of Distance Education,Distance Education,Chennai,Tamil Nadu,"B.A., B.Com, B.Sc., MA Distance",,8000,20000,12,Distance education programs from University of Madras.,https://www.unom.ac.in,Open Admission,,Co-ed
Symbiosis Centre for Distance Learning,Distance Education,Pune,Maharashtra,"BBA, MBA Distance, B.Com",,25000,60000,5,Distance learning programs under Symbiosis International University.,https://scdl.net,Open Admission,,Co-ed
Netaji Subhas Open University,Distance Education,Kolkata,West Bengal,"B.A., B.Com, B.Sc., MA Distance",,8000,18000,8,State open university in West Bengal.,https://www.wbnsou.ac.in,Open Admission,,Co-ed
Dr B R Ambedkar Open University,Distance Education,Hyderabad,Telangana,"B.A., B.Com, B.Sc. Distance",,7000,15000,9,State open university in Telangana.,https://www.braou.ac.in,Open Admission,,Co-ed
Yashwantrao Chavan Maharashtra Open University,Distance Education,Nashik,Maharashtra,"B.A., B.Com, BBA, MBA Distance",,8000,20000,7,State open university in Maharashtra.,https://ycmou.ac.in,Open Admission,,Co-ed
Karnataka State Open University,Distance Education,Mysuru,Karnataka,"B.A., B.Com, B.Sc. Distance",,7000,15000,11,State open university in Karnataka.,https://ksoumysuru.ac.in,Open Admission,,Co-ed
Dr B R Ambedkar University Delhi School of Open Learning,Distance Education,New Delhi,Delhi,"B.A., B.Com Distance",,6000,12000,6,Open learning school affiliated with University of Delhi.,https://sol.du.ac.in,Open Admission,,Co-ed
National Institute of Open Schooling,Distance Education,Noida,Uttar Pradesh,"Secondary, Senior Secondary, Vocational Diploma Courses",,3000,8000,2,National board for open schooling and vocational education.,https://www.nios.ac.in,Open Admission,,Co-ed
National University of Singapore,International Universities,Singapore,Singapore,"Computer Science, Business Administration, Engineering, Data Science",,2500000,3200000,1,"Top-ranked international university in Asia, accepts Indian board scores.",https://www.nus.edu.sg,SAT/Direct Admission,,Co-ed
University of Melbourne,International Universities,Melbourne,Australia,"Computer Science, Business Administration, Engineering, Commerce",,2800000,3500000,1,"Leading Australian university, accepts Indian 12th board scores with IELTS.",https://www.unimelb.edu.au,Direct Admission,,Co-ed
University of Toronto,International Universities,Toronto,Canada,"Computer Science, Engineering, Business Administration, Life Sciences",,3500000,4200000,1,"Top Canadian university, requires Indian 12th marks and English proficiency test.",https://www.utoronto.ca,Direct Admission,,Co-ed
National University of Malaysia,International Universities,Bangi,Malaysia,"Computer Science, Engineering, Business Administration",,1200000,1600000,5,"Reputed Malaysian university, accepts Indian board scores with English proficiency.",https://www.ukm.my,Direct Admission,,Co-ed
University of Birmingham,International Universities,Birmingham,United Kingdom,"Computer Science, Business Administration, Engineering",,2900000,3400000,3,"Top UK university, accepts Indian 12th board scores with IELTS.",https://www.birmingham.ac.in,Direct Admission,,Co-ed
National Institute of Technology Andhra Pradesh,Engineering,Tadepalligudem,Andhra Pradesh,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,130000,160000,46,"NIT in Andhra Pradesh, JEE Main based admission.",https://www.nitandhra.ac.in,JEE Main,9000,Co-ed
National Institute of Technology Meghalaya,Engineering,Shillong,Meghalaya,"Computer Science, Electronics and Communication, Mechanical Engineering",,110000,140000,62,"NIT serving Meghalaya and Northeast India, JEE Main based admission.",https://www.nitm.ac.in,JEE Main,21000,Co-ed
National Institute of Technology Manipur,Engineering,Imphal,Manipur,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,110000,140000,63,"NIT in Manipur, JEE Main based admission.",https://www.nitmanipur.ac.in,JEE Main,22000,Co-ed
National Institute of Technology Mizoram,Engineering,Aizawl,Mizoram,"Computer Science, Electronics and Communication, Civil Engineering",,110000,140000,64,"NIT in Mizoram, JEE Main based admission.",https://www.nitmz.ac.in,JEE Main,23000,Co-ed
National Institute of Technology Nagaland,Engineering,Dimapur,Nagaland,"Computer Science, Electronics and Communication, Mechanical Engineering",,110000,140000,65,"NIT in Nagaland, JEE Main based admission.",https://www.nitnagaland.ac.in,JEE Main,24000,Co-ed
National Institute of Technology Sikkim,Engineering,Ravangla,Sikkim,"Computer Science, Electronics and Communication, Civil Engineering",,110000,140000,66,"NIT in Sikkim, JEE Main based admission.",https://www.nitsikkim.ac.in,JEE Main,25000,Co-ed
National Institute of Technology Arunachal Pradesh,Engineering,Yupia,Arunachal Pradesh,"Computer Science, Electronics and Communication, Mechanical Engineering",,110000,140000,67,"NIT in Arunachal Pradesh, JEE Main based admission.",https://www.nitap.ac.in,JEE Main,26000,Co-ed
National Institute of Technology Puducherry,Engineering,Karaikal,Puducherry,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,120000,150000,48,"NIT in Puducherry, JEE Main based admission.",https://www.nitpy.ac.in,JEE Main,15000,Co-ed
National Institute of Technology Jamshedpur,Engineering,Jamshedpur,Jharkhand,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,130000,160000,35,"NIT in Jharkhand, JEE Main based admission.",https://www.nitjsr.ac.in,JEE Main,8500,Co-ed
National Institute of Technology Srinagar,Engineering,Srinagar,Jammu and Kashmir,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",,120000,150000,44,"NIT in Jammu and Kashmir, JEE Main based admission.",https://www.nitsri.ac.in,JEE Main,10500,Co-ed
Birla Institute of Technology Mesra,Engineering,Ranchi,Jharkhand,"Computer Science, Electronics and Communication, Mechanical Engineering, Biotechnology",70,180000,220000,32,"Reputed private deemed university in Jharkhand, JEE Main based admission.",https://www.bitmesra.ac.in,JEE Main,18000,Co-ed
Indian Institute of Information Technology Allahabad,Engineering,Prayagraj,Uttar Pradesh,"Computer Science, Electronics and Communication, Information Technology",,250000,300000,22,"IIIT focused on IT, JEE Main based admission.",https://www.iiita.ac.in,JEE Main,4000,Co-ed
Andhra University College of Engineering,Engineering,Visakhapatnam,Andhra Pradesh,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",78,30000,50000,40,"Government engineering college in Andhra Pradesh, AP EAMCET based admission.",https://www.andhrauniversity.edu.in,AP EAMCET,,Co-ed
JNTU College of Engineering Hyderabad,Engineering,Hyderabad,Telangana,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",76,30000,50000,43,"Government engineering college in Telangana, TS EAMCET based admission.",https://jntuh.ac.in,TS EAMCET,,Co-ed
Indian Institute of Technology Dhanbad (ISM),Engineering,Dhanbad,Jharkhand,"Mining Engineering, Computer Science, Mechanical Engineering, Petroleum Engineering",,150000,200000,15,"Premier IIT specializing in mining and earth sciences, JEE Advanced based admission.",https://www.iitism.ac.in,JEE Advanced,3500,Co-ed
Government Engineering College Thrissur,Engineering,Thrissur,Kerala,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",77,30000,45000,50,"Government engineering college in Kerala, KEAM based admission.",https://www.gectcr.ac.in,KEAM,,Co-ed
College of Engineering Trivandrum,Engineering,Thiruvananthapuram,Kerala,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",79,30000,45000,37,"Premier government engineering college in Kerala, KEAM based admission.",https://cet.ac.in,KEAM,,Co-ed
University of Petroleum and Energy Studies,Engineering,Dehradun,Uttarakhand,"Computer Science, Petroleum Engineering, Mechanical Engineering, AI and Data Science",60,250000,320000,55,"Private university known for energy sector specializations, own entrance test.",https://www.upes.ac.in,UPESEAT,,Co-ed
Graphic Era University,Engineering,Dehradun,Uttarakhand,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",58,160000,200000,65,Private university in Uttarakhand.,https://www.geu.ac.in,Own Entrance Test,,Co-ed
KIIT University,Engineering,Bhubaneswar,Odisha,"Computer Science, Electronics and Communication, Mechanical Engineering, Biotechnology",,300000,360000,28,"Top private deemed university in Odisha, KIITEE based admission.",https://kiit.ac.in,KIITEE,5000,Co-ed
GITAM University,Engineering,Visakhapatnam,Andhra Pradesh,"Computer Science, Electronics and Communication, Mechanical Engineering, Biotechnology",65,250000,300000,58,"Private deemed university in Andhra Pradesh, GAT based admission.",https://www.gitam.edu,GITAM GAT,,Co-ed
