name,category,location,state,courses_offered,min_cutoff_percentage,fees_min,fees_max,ranking,description,website
IIT Madras,Engineering,Chennai,Tamil Nadu,"Computer Science, Mechanical Engineering, Electrical Engineering, Civil Engineering, Data Science",95,200000,250000,1,"Premier government engineering institute, JEE Advanced based admission.",https://www.iitm.ac.in
IIT Delhi,Engineering,New Delhi,Delhi,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",95,200000,250000,2,"Top-ranked IIT, JEE Advanced based admission.",https://home.iitd.ac.in
IIT Bombay,Engineering,Mumbai,Maharashtra,"Computer Science, Electrical Engineering, Mechanical Engineering, Aerospace Engineering",95,200000,250000,1,"Leading government engineering institute in India.",https://www.iitb.ac.in
NIT Trichy,Engineering,Tiruchirappalli,Tamil Nadu,"Computer Science, Electronics and Communication, Mechanical Engineering, Civil Engineering",92,150000,180000,8,"Top NIT, JEE Main based admission.",https://www.nitt.edu
NIT Warangal,Engineering,Warangal,Telangana,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",91,150000,180000,10,"Premier NIT in South India.",https://www.nitw.ac.in
Anna University - CEG Campus,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Civil Engineering, Electronics and Communication",85,50000,75000,25,"Government engineering college under TNEA counseling.",https://www.annauniv.edu
PSG College of Technology,Engineering,Coimbatore,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Electronics and Communication",82,150000,200000,30,"Top private autonomous engineering college in Tamil Nadu.",https://www.psgtech.edu
Thiagarajar College of Engineering,Engineering,Madurai,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",78,120000,160000,45,"Autonomous engineering college, TNEA counseling.",https://www.tce.edu
SSN College of Engineering,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Biomedical Engineering",80,140000,180000,40,"Well-regarded private engineering college near Chennai.",https://www.ssn.edu.in
SRM Institute of Science and Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Biotechnology, AI and Data Science",70,250000,350000,35,"Large private deemed university with multiple specializations.",https://www.srmist.edu.in
VIT Vellore,Engineering,Vellore,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Mechanical Engineering",75,200000,280000,15,"Top private deemed university, VITEEE based admission.",https://vit.ac.in
Sathyabama Institute of Science and Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Mechanical Engineering, Aeronautical Engineering",60,180000,220000,60,"Private deemed university in Chennai.",https://sathyabama.ac.in
Hindustan Institute of Technology,Engineering,Chennai,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Aerospace Engineering",55,150000,200000,70,"Private deemed university, management quota seats available.",https://www.hindustanuniv.ac.in
Sri Sairam Engineering College,Engineering,Chennai,Tamil Nadu,"Computer Science, Information Technology, Electronics and Communication, Mechanical Engineering",65,90000,130000,50,"Private engineering college under TNEA counseling.",https://www.sairam.edu.in
Coimbatore Institute of Technology,Engineering,Coimbatore,Tamil Nadu,"Computer Science, Mechanical Engineering, Civil Engineering, Electronics and Communication",76,60000,90000,42,"Government-aided autonomous engineering college.",https://www.cit.edu.in
BITS Pilani,Engineering,Pilani,Rajasthan,"Computer Science, Electronics and Communication, Mechanical Engineering, Chemical Engineering",90,400000,450000,5,"Top private institute, BITSAT based admission.",https://www.bits-pilani.ac.in
Manipal Institute of Technology,Engineering,Manipal,Karnataka,"Computer Science, Information Technology, Electronics and Communication, Aeronautical Engineering",65,350000,420000,20,"Well-known private institute under MAHE.",https://manipal.edu
RV College of Engineering,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Information Science",84,150000,200000,18,"Top autonomous private engineering college in Bengaluru.",https://rvce.edu.in
PES University,Engineering,Bengaluru,Karnataka,"Computer Science, Electronics and Communication, Mechanical Engineering, Biotechnology",78,250000,320000,22,"Well-regarded private university in Karnataka.",https://pes.edu
Jadavpur University,Engineering,Kolkata,West Bengal,"Computer Science, Electrical Engineering, Mechanical Engineering, Civil Engineering",88,15000,25000,12,"Top government university in eastern India.",http://www.jaduniv.edu.in
Delhi Technological University,Engineering,New Delhi,Delhi,"Computer Science, Information Technology, Mechanical Engineering, Electronics and Communication",87,150000,180000,14,"Premier government engineering university in Delhi.",http://dtu.ac.in
Government College of Technology,Engineering,Coimbatore,Tamil Nadu,"Mechanical Engineering, Civil Engineering, Production Engineering, Textile Technology",80,40000,60000,55,"Government engineering college under TNEA counseling.",https://www.gct.ac.in
AIIMS Delhi,Medical,New Delhi,Delhi,"MBBS, Medical Sciences",97,5000,10000,1,"India's premier government medical institute, NEET based admission.",https://www.aiims.edu
Madras Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",94,15000,25000,5,"Top government medical college in Tamil Nadu, NEET + TN counseling.",https://www.mmc.tn.gov.in
Stanley Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",92,15000,25000,15,"Government medical college in Chennai under NEET counseling.",https://www.stanleymedicalcollege.com
Kasturba Medical College Manipal,Medical,Manipal,Karnataka,"MBBS, Medical Sciences, Dental Sciences",85,2000000,2500000,10,"Top private medical college, NEET based admission with high fees.",https://manipal.edu/kmc-manipal.html
Sri Ramachandra Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences, Dental Sciences",80,1800000,2200000,20,"Private deemed medical university in Chennai.",https://sriramachandra.edu.in
SRM Medical College,Medical,Chennai,Tamil Nadu,"MBBS, Medical Sciences",70,2000000,2400000,40,"Private medical college under SRM, NEET based with management quota.",https://srmist.edu.in
Government Medical College Thiruvananthapuram,Medical,Thiruvananthapuram,Kerala,"MBBS, Medical Sciences",91,20000,30000,18,"Top government medical college in Kerala.",https://gmc.kerala.gov.in
Loyola College,Arts and Science,Chennai,Tamil Nadu,"B.Com, B.A. Economics, B.Sc. Computer Science, B.Sc. Physics, B.A. English",75,30000,50000,8,"Premier autonomous arts and science college in Chennai.",https://www.loyolacollege.edu
Madras Christian College,Arts and Science,Chennai,Tamil Nadu,"B.A. Economics, B.Sc. Computer Science, B.Com, B.A. History, B.Sc. Mathematics",72,25000,45000,10,"Historic autonomous college affiliated with University of Madras.",https://mcc.edu.in
Presidency College Chennai,Arts and Science,Chennai,Tamil Nadu,"B.A. Economics, B.Sc. Physics, B.Sc. Chemistry, B.Com",65,10000,18000,20,"Government arts and science college, one of the oldest in India.",https://www.presidencychennai.edu.in
St. Xavier's College Mumbai,Arts and Science,Mumbai,Maharashtra,"B.A. Economics, B.Sc. Computer Science, B.Com, B.A. Sociology",78,40000,60000,5,"Premier autonomous college affiliated with University of Mumbai.",https://xaviers.edu
Stella Maris College,Arts and Science,Chennai,Tamil Nadu,"B.A. Economics, B.Sc. Computer Science, B.Com, B.A. English",70,40000,55000,15,"Top women's autonomous college in Chennai.",https://www.stellamariscollege.edu.in
Lady Shri Ram College,Arts and Science,New Delhi,Delhi,"B.A. Economics, B.Com, B.A. English, B.A. Political Science",82,35000,50000,3,"Premier women's college under University of Delhi.",https://lsr.edu.in
Christ University,Arts and Science,Bengaluru,Karnataka,"B.A. Economics, B.Com, B.Sc. Computer Science, B.A. Psychology",70,120000,160000,12,"Leading private deemed university in Bengaluru.",https://christuniversity.in
Indian Institute of Management Ahmedabad,Management,Ahmedabad,Gujarat,"MBA, Business Administration",90,2300000,2500000,1,"India's top management institute, CAT based admission.",https://www.iima.ac.in
Indian Institute of Management Bangalore,Management,Bengaluru,Karnataka,"MBA, Business Administration",90,2300000,2500000,2,"Premier management institute, CAT based admission.",https://www.iimb.ac.in
Loyola Institute of Business Administration,Management,Chennai,Tamil Nadu,"MBA, Business Administration, HR Analytics",75,800000,1000000,25,"Reputed private B-school in Chennai, CAT/MAT based admission.",https://www.liba.edu
Great Lakes Institute of Management,Management,Chennai,Tamil Nadu,"MBA, Business Analytics, Business Administration",72,1500000,1800000,20,"Well-known private management institute in Chennai.",https://www.greatlakes.edu.in
XLRI Jamshedpur,Management,Jamshedpur,Jharkhand,"MBA, Business Administration, HR Management",88,2400000,2600000,5,"Top private management institute, XAT based admission.",https://www.xlri.ac.in
Symbiosis Institute of Business Management,Management,Pune,Maharashtra,"MBA, Business Administration",68,1200000,1500000,18,"Reputed private B-school under Symbiosis, SNAP based admission.",https://www.sibmpune.edu.in
NMIMS Mumbai,Management,Mumbai,Maharashtra,"MBA, Business Administration, Finance",78,1800000,2000000,10,"Top-tier private B-school, NMAT based admission.",https://www.nmims.edu
National Law School of India University,Law,Bengaluru,Karnataka,"BA LLB, Law",92,250000,300000,1,"India's premier law school, CLAT based admission.",https://www.nls.ac.in
NALSAR University of Law,Law,Hyderabad,Telangana,"BA LLB, Law",90,200000,250000,2,"Top law university, CLAT based admission.",https://www.nalsar.ac.in
Government Law College Chennai,Law,Chennai,Tamil Nadu,"BA LLB, BL, Law",70,15000,25000,30,"Government law college in Chennai under TNDALU.",https://tndalu.ac.in
School of Excellence in Law Chennai,Law,Chennai,Tamil Nadu,"BA LLB, Law",78,80000,100000,15,"Constituent law school of Tamil Nadu Dr. Ambedkar Law University.",https://tndalu.ac.in
Symbiosis Law School Pune,Law,Pune,Maharashtra,"BA LLB, Law",72,300000,350000,8,"Top private law school, SLAT based admission.",https://www.symlaw.ac.in
Jindal Global Law School,Law,Sonipat,Haryana,"BA LLB, BBA LLB, Law",75,600000,700000,5,"Premier private law school under OP Jindal Global University.",https://jgu.edu.in/jgls
Government Polytechnic College Chennai,Polytechnic,Chennai,Tamil Nadu,"Diploma in Mechanical Engineering, Diploma in Civil Engineering, Diploma in Electronics",55,8000,12000,20,"Government polytechnic offering diploma courses after 10th/12th.",https://dote.tn.gov.in
Central Polytechnic College Chennai,Polytechnic,Chennai,Tamil Nadu,"Diploma in Computer Engineering, Diploma in Electronics, Diploma in Mechanical Engineering",58,8000,12000,15,"Premier government polytechnic in Tamil Nadu.",https://dote.tn.gov.in
Murugappa Polytechnic College,Polytechnic,Chennai,Tamil Nadu,"Diploma in Mechanical Engineering, Diploma in Electrical Engineering",50,30000,45000,35,"Private polytechnic college offering technical diplomas.",https://dote.tn.gov.in
Indira Gandhi National Open University,Distance Education,New Delhi,Delhi,"B.A., B.Com, BCA, MBA Distance, Diploma Courses",0,15000,40000,1,"India's largest open and distance learning university, no cutoff barrier.",https://www.ignou.ac.in
Annamalai University - Distance Education,Distance Education,Chidambaram,Tamil Nadu,"B.A., B.Com, B.Sc., MBA Distance",0,10000,30000,10,"Distance education wing of Annamalai University.",https://www.annamalaiuniversity.ac.in
University of Madras - Institute of Distance Education,Distance Education,Chennai,Tamil Nadu,"B.A., B.Com, B.Sc., MA Distance",0,8000,20000,12,"Distance education programs from University of Madras.",https://www.unom.ac.in
National University of Singapore,International Universities,Singapore,Singapore,"Computer Science, Business Administration, Engineering, Data Science",85,2500000,3200000,1,"Top-ranked international university in Asia, accepts Indian board scores.",https://www.nus.edu.sg
University of Melbourne,International Universities,Melbourne,Australia,"Computer Science, Business Administration, Engineering, Commerce",80,2800000,3500000,1,"Leading Australian university, accepts Indian 12th board scores with IELTS.",https://www.unimelb.edu.au
University of Toronto,International Universities,Toronto,Canada,"Computer Science, Engineering, Business Administration, Life Sciences",85,3500000,4200000,1,"Top Canadian university, requires Indian 12th marks and English proficiency test.",https://www.utoronto.ca